衬套,
衬筒,
程序,
齿轮,
齿轮电机,
齿轮箱,
齿轮轴,
冲突,
抽钉,
出口,
出气口罩,
初始电压,
初始化,
处理器,
触电,
触头,
传动机构,
传感器,
喘振,
串口,
垂直,
垂直轴,
纯惯性,
磁堵,
磁力计,
窜动,安定面
存储介质,螺母
存放,陀螺
错位,尾翼
错误,
搭接,
搭铁,
搭铁带,
打火,
打卡,
打磨,
大气机,
大气数据计算机,
单边,
单片,
单相变,
单相静止变流器,
单向,
单向阀,
单向活门,
弹垫,
弹簧,
弹片,
弹性,
刀面,
导电环,
导管,
导航,
导流线,
导通,
导线,
导致,
导柱,
到位,
地板,
地检,
地面,
地面站,
地线,模式
低放电路,
低频,
低气压,
低温,
低压,
低噪,
低指,
敌我识别系统,
底板,
底部,
底座,
点胶,
点位计,
电池,
电磁干扰,
电搭铁,
电调衰减器,
电动泵,
电机,作模车
电镜,
电缆,
电烙铁,
电流,
电路,信号
电路板,
电脑,
电瓶,
电气,
电容,射频信号
电视,
电视跟踪器,
电视摄像机,
电台,
电位计,
电位器,
电限位,
电箱,
电压,
电源,
电源插头,
电源开关,
电源线,
电子轴承,端盖
电阻,支撑轴承
垫块,
垫片,
垫圈,触头
调焦,连接器
调节,
调压,变换器
调压板,
调压器,
调制,
调制解调器,
调制频综,
调制器,
掉电,电视跟踪器
掉渣,跟踪器
跌落,
定高,天线
定时器,电缆
定位,连接器
定向天线,
定义,
丢包,
动片,
抖动,
堵塞,插头
堵转,
端盖,开关
端头,
短舱,模块
短舱上罩,
短舱下罩,
短杆,
短接,
短路,
短路点,
断点,
断电,
断掉,
断开,
断口,
断裂,
断路,
断丝,
断损,
对接,
对齐,
对外,
对星,
对准,
多余轴,
多余轴锁定电路,
舵机,
舵机控制盒,
舵机输出轴,
舵面,
舵面拉杆,
耳片,
二分之一,
二极管,
发达器,
发电机,
发电机控制器,
发动机,短舱上罩
发动机调压器,
发频,短舱下罩
发射机,
发射机电调衰减器,
发生,
发送,
发送卡,
发烫,
阀门,
法兰盘,
翻边,
翻转,
反馈信号,
反向链路,
返厂,
返回,
返修,
方位,
方位角,
方位旋钮,多余轴锁定电路
方位轴,锁定电路
方向,
方向舵,控制盒
方向舵舵机,输出轴
方向限位器,
防护贴,拉杆
放大器,
放炮,
放油,
飞参,
飞机,
飞控,
飞控计算机,控制器
飞控软件,
飞控图像显示单元,调压器
飞行,
飞行前,
非故障,
废气,
废气活门,
废气活门舵机,电调衰减器
分接测距单元,模块
分解,
分配,
分析,
风道,
风扇,
风罩,
封装,
峰值,
浮子室,
幅度,
俯仰,
俯仰角,
腐化,
腐蚀环境,
负,
负励磁,
负载,
复测,
复查,
复合材料,
复现,
副翼,
副翼襟,
腹板,
覆盖,
感应同步器,
干摩擦,
干涉,
钢球,
钢索,
缸盖,
缸头,
缸温,机柜
缸温传感器,
高度,
高度表,图像显示单元
高频箱,
高温,过程
高限,联试
高压,检测
高压母线,
高压线,
高油,舵机
根部,废气活门舵机
跟踪,
跟踪接收机,
跟踪框,
跟踪器,
更换,
工人,
工序,
工艺,
工艺槽,
工装,
工作,
功放,
功放保险,
功放电容,
功率,
功率线,
功能,
供地点,
供电标志,
供电线缆,励磁
供油泵,负励磁
供油胶管,
供油系统,
共地点,
共面性,
共享器,
鼓包,
固定,
固定平台驱动单元,
固定支架,
故障,
故障件,
故障警告灯,
故障信号,
刮油环,
关闭,
关电指令,
关掉,
关机,
管脚,
管壳,
管嘴,
惯导,
惯导姿态角,
惯性平台,高压
光电平台,
光缆,
光耦,
规程,
规定值,
规划,接收机
滚波,
滚转,
过程,
过流,
过细,
焊点,
焊脚,
焊接,
焊盘,
焊线,
焊针,
航标,
航管部门,
航迹角,
航向,
航向角,
航向数据,检查
航向陀螺,
航向陀螺同步器,
航姿,
合格,
合金电刷,
盒口,
黑白,
黑屏,
黑烟,
横滚,
横滚角,
横滚陀螺,驱动单元
横梁,
横向,
红色,
红外,
红外调焦,
红外跟踪器,
红外驱动,
红外驱动摆镜连接器,
红外热像仪,
红外元器件,
红外侦查图像,
后壳,
后期,
后墙,姿态角
后续,平台
后移,
后缘,
忽暗,
忽明,
糊味,
护套环,
滑环,
滑跑,
滑丝,
滑行,
滑油,
滑油管,
滑油恒温活门,
滑油滤,
滑油散热器,
滑油箱,
滑油压力,
划伤,
画质,
环测,
环境,
环码,
缓冲器,
缓冲支柱,
换油,同步器
黄色,
晃动,
挥发,
恢复,
回放单元,
回流管,
回路,
回位,
回油管,横滚
汇流条,
混合,
活门,
活门支架,摆镜
击穿,调焦
机床,跟踪器
机柜,驱动
机壳,
机轮,热像仪
机内,元器件
机身,侦查图像
机体,
机头罩,
机位,
机务过程,
机务检查,
机务准备,
机箱,
机械应力,
机翼,
机载,
机载功率,
机载卫通功放,
机载卫通天线,
基础电压,
基准点,
激磁信号,
激光测距,
激光测距主控板,
激光电源线,
激光器,
激励源,
极化角,压力
极化扇齿,
极限轴,
挤压,
计算机,
记录仪,
继电器,
加电,
加改装,保养
加改装鉴定试飞,
加工,
加工应力,
加固,
加焊,
加温开关,
加油口,
夹角,
间隔,
间隙,
监测,
监控,支架
检测,
检测车,
检查,
检验,
减摆器,
减速齿轮件,
减速机,
减速机齿轮,
减速轮,
减振器,
减震垫,
减震胶垫,
减震器支架,
剪切力,
建压,
鉴定试飞,
键盘,功率
桨距,卫通功放
桨距电机,卫通天线
桨距角,
桨叶,
降低,
交变热应力,
交流电,
胶管,主控板
胶接,
胶圈,
胶体,
胶粘性,
胶质,
角度,
角度差,
角度值,
角片,
角速度,
角速度陀螺,
角速率,加改装
角速率陀螺,
角位移传感器,
角位置,
角位置传感器,
矫正,
搅拌,
较长,
接插,
接触,
接触点,
接触簧片,
接地,
接反,
接缝,
接口,
接口软件,
接入,
接收,
接收单元,
接收单元变频器,
接收机,
接收机面板,
接收天线,
接收帧,
接通,
接头,
接头线,
接线,
接线板,电机
接线柱,
接嘴,
节风门,
结构件,
结合部,
解除,
解调,
解调器,
解调芯片,
解算,
金属,
金属保护薄膜,
襟副翼,
襟翼,
紧固,角位置
进风口,角速度
进油嘴,角速率
经查,传感器
经常,
精度,
景物,
静态,
静态检查,
静态联试,
静态联系,
静压,
静压受感器,滑跑
镜检,
镜头,
久远,
酒精,
局部,
锯齿,
绝缘,变频器
绝缘层,接收单元
卡箍组件,
卡口,面板
卡死,
卡套,
卡销,
卡滞,
开车,
开关,
开环,
开机,
开胶,
开孔,
开裂,
开路,
抗干扰,
抗干扰天线,
拷贝,
拷机,
可拆卸,
可拆卸蒙皮组件,
可见光,
可见光电视摄像机,保护薄膜
可见光摄像机,
空管应答机,
空回,
空滤,
空滤支架,
空气盒,
空气冷却风道,
空气冷却风罩,
空速管,静态
空载,检查
空中,
孔距,静压
孔位,受感器
控制,
控制电位器,
控制盒,
控制器,
控制微动开关,
口盖,
馈源,
困难,
扩频调制器,
拉杆,
拉伸,
缆线,
老化,
雷达,
冷机,
冷却,
冷却风道,
冷却风罩,
冷却液,
冷却液散热器,
离地,
离散输出板,
离散输出驱动板,
离散输入输出板,
离心力,
励磁,
连接,
连接导线,蒙皮组件
连接管,摄像机
连接键,电视摄像机
连接螺杆,
连接器,应答机
连接轴套,
连线,
联试,冷却
联轴器,风道
链路,冷却风道
两侧,风罩
裂片,
裂纹,
临界,
灵敏度,
零件,
零位,
零值,电位器
六角自锁螺母,
漏液,
漏油,微动开关
罗经,
罗经对准,
螺钉,
螺杆,
螺帽,
螺母,
螺栓,
螺旋桨,
螺旋桨叶,小信号单元
铝电解电容器,
滤波电容,
滤波电容盒,
滤口,
滤口盖,散热器
滤网,
滤纸,
马达,
脉冲,
满位,
毛刺,
铆钉,
铆接,
门限,
门限值,
蒙皮,
蒙皮组件,轴套
密封,
密封件,
密封条,
密码通信,
密钥,
密钥接入,
密钥接入信号线,
面板,
敏感,
模块,
模拟转发器,
模式,
模型,自锁螺母
模型监控,
摩擦,
磨损,
末级,
末级齿轮,
目标,
目视,
内部,
内部螺杆,
内侧,
内框架,
内框架方向限位器,
内腔,
内腔压力,
内筒,
尼龙齿轮,
逆时针,
拧紧,
凝露,
扭曲,
偶然,
耦合,
爬升,
排气,
排气管,
排气口,
判读,
判断,
配对,
配套,
碰撞,
批次,密钥接入
偏航,信号线
偏离,
漂移,
频点,
频段,
频繁,
频率,
频综,
平垫,
平段,末级
平台,
平台方位,
平台驱动单元,
平台阻尼减震器,
平尾,
屏蔽套,方向限位器
破裂,限位器
破损,
期间,
漆包线,
漆膜,
启动,
启动油路,
启动油路钢索,
起撑杆,
起动,
起动油路,
起飞,
起接头,
起落架,
气门杆,
气门活塞,
气泡,
气体,
气压,
气压高度,
汽化器,
器件,
牵引,
前舱,
前机身,
前梁,
前起落架,
前视摄像头,
前缘,
欠压,
嵌入件,
切换,
轻推,
轻微,
倾斜,
倾斜配套陀螺仪,
倾斜陀螺,
清洗,驱动单元
情报处理车,阻尼减震器
情报处理站,
驱动,
驱动单元,
驱动单元变频器,
驱动电缆,
驱动电路板,
驱动盒,
驱动线缆,
全机,油路
全温,钢索
全向天线,起动
全压计算机,
全压接管,
全压缩信号,
全压振动筒,
缺缸,
缺少,
缺失,
缺陷,
燃亮,
燃油,
燃油泵,
燃油供油泵,
燃油滤口,
燃油油滤口盖,
扰流片,
绕组,
绕组端头,
热车,
热风枪,
热塑管,
热缩套,
热像仪,
人工姿态,
任控机柜,
任务规划电脑,配套
任务规划机柜,陀螺仪
任务控制,
任务控制柜,
容值,
熔融,
熔融玻璃,
熔融玻璃封装,
入口信号电缆,
软件,
润滑,
润滑脂,
三防漆,
三极管,
三通支架,
三位四通阀,
散热,
散热片,
散热器,
扫描,
扫描型器件,
刹车,
刹车阀,
刹车阀压力传感器,
刹车控制器,
刹车片,
刹车压力,
刹车装置,滤口盖
砂眼,供油泵
闪红,滤口
闪烁,
上变频,
上变频器,端头
上电,
上盖,
上蒙皮,
上托板螺母,
上行信号电缆,
上缘,遥控
上罩,
烧断,
烧坏,
烧毁,
烧焦,
烧蚀,
设备,
设计,
设置,
射程,封装
射频,
射频天线,信号电缆
射频线,
射频信号,
摄像机,
渗漏,
渗油,
升级,
升降舵,
升降舵机,
升起,
声音,
失灵,
失速,
失锁,
失效,
湿度,压力传感器
十字槽,
十字架,
十字螺钉,
时间,
时间包,
实验,
试车,
试验,
视距,
视距链路,
视距拖车,
视频,
视频处理软件,
视频矩阵,蒙皮
视频数据记录仪,托板螺母
视频数字记录仪,
视频线,信号电缆
视频信号,
收发组合,
收放试验,
收频,
收星,
收星数,
手动,
手动跟踪,
手动跟踪模式,
手提驱动箱,
受感器,
受损,
输出,
输出板,
输出电压,
输出端,
输出功率,
输出线圈,
输出引脚,
输出轴,
输入,
输入端,
输入引脚,
输入值,
输油泵,
输油泵单向阀,
鼠标,
数传电台,
数据,
数据回放单元,
数据记录仪,
数据帧,
数量,
数码相机,
数值,
数字,
数字记录仪,
水平,
水平安定面,
水平尾翼,
水汽,
顺畅,数据记录仪
顺时针,数字记录仪
撕裂,
死机,
死区,
松动,
松脱,
速度,
速度包,
速率,
速率陀螺,手动跟踪
速率陀螺组件,
碎块,
损坏,
损伤,
缩针,
锁定,
锁定电路,电压
锁紧,功率
锁死,线圈
锁死灯,引脚
锁相,
锁相环路,
探头,
碳刷,
梯度,
天线,单向阀
天线齿轮,
天线控制盒,
天线驱动单元,
天线罩,回放单元
条件,
条纹,
跳变,
跳动,
跳闸,
停稳,水平
通道,
通电,
通电联试,
通风管,
通风管道,
通风盒,
通风盒电机,
通风口,
通孔,
通信,
通信故障,
通信芯片,
同步,
同步减速轮,
同步控制单元,
同步器,
同轴,
同轴度,
铜柱,
头部,
凸头卡销,
图像,
图像采集,
图像显示单元,
图纸,
涂覆,
涂装,
推杆,
托板螺母,
托架,
拖车,
脱开,
脱落,
脱漆,
脱粘,
陀螺,
陀螺电机,
陀螺方位轴,
陀螺仪,
外包装,
外部,
外部温度,
外场试验,
外俯仰,
外俯仰编码器,
外壳,
外控,
外控线,
外控语音,
外框,
外框架,
外露,减速轮
外螺纹,同步
外皮,
外筒,
弯管,
弯曲,
弯头,
完毕,
完善,
网口,卡销
网络,
网线,
微波单片,
微波单片发达器,
微动开关,
微分速度,
维护,
维护口,
维护口盖,
尾部,
尾撑,
尾撑管,
尾翼,
尾翼舵机,
卫通,
卫通功放,
卫通机载天线,
卫通链路,
卫通链路功放电源组合,
卫通设备车,
卫通收发组合,外俯仰
卫通天线,编码器
卫通天线车,
卫通下行链路,
卫星,
卫星频段,
卫星资源,
未报,
未定义,
未对,
未能,
位于,
位置,
温度,
温度传感器,
温度循环,
温控开关,
文档,
文件,
稳定,微波单片
污染,单片
无损,发达器
无线,
无线操纵,
无线操纵主板,维护口
无线电,
无线电高度表,
误测,
误差,
误码,舵机
误判,
雾化,
吸附,
吸合,
席位,
下变频,
下变频链,
下变频器,
下端,
下盖,
下行,链路
下行链路,
下行信号,
下罩,
下罩板,
下支撑环,
显示,
显示机,
现场,
现象,
限位器,
限制值,
线缆,
线路,
线路板,
线路控制板,
线圈,
相对,
相机,无线
相机维护口,无线操纵
相间,无线电
相联,高度表
相位,
箱盖,
项集,
橡胶,
橡胶垫,
橡胶圈,
消声器,
消失,变频
消音器,变频链
销孔,变频器
小孔,
小时,
小信号单元,失锁
校检,链路
校零,
校零开关,
校正指令,罩板
效果,支撑环
斜边,
泄漏,
芯片,
信号,
信号灯,
信号电缆,
信号调理盒,
信号线,
信息,
行星减速器,
形变,
型号,
性能,
修理,
修配,
锈蚀,
虚焊,
虚接,
蓄电池,
旋钮,
旋转变压器,
雪花,
压控振荡器,
压力,
压力传感器,
压力开关,
压力输出,
压缩,
延时,
延时继电器,
氧化,
遥测,
遥测数据,
遥测信号,
遥控,
遥控检查,
液体开关,
液溴,
液压泵,
液压车,
液压挺柱,
液压系统,
一分三插头,
依然,
疑似,
异常,
异响,
易损件,
溢扣,
翼根,
翼襟,
翼面,
引出片,
引出线,
引脚,
引线,
隐患,
印制板,
印制线,
应答,
应答机,
应急,
应急关电指令,
应力,
应力腐蚀环境,
迎风,
迎风刀面,
硬件,
硬盘灯,
用户机,
油封,
油管,
油机,
油机电源,
油机排气管,
油量标定,
油量表,
油路,
油箱,
油脂,
右侧,
右方向舵,
右方向舵舵机,
右副翼,
右机翼,
右机翼舵机,
右襟副翼,
右起落架,
右刹车,
右主起落架,
右纵梁,
余度,
余油,
语句,
语音,关电指令
语音通信,
预置,腐蚀环境
预置量,刀面
预装配,
裕量,
元器件,
圆杆,
缘条,
运行,
运转,
杂物,
杂质,
再现,
载波,
载噪比,
噪声,舵机
增大,方向舵
增厚,方向舵舵机
增压器,
增压系统,
增益,舵机
扎破,
栅极,
粘连,
粘性,
展开,
罩板,
折返飞行,
褶皱,
着陆,
针阀,
侦查图像,
振动筒,
震颤,
整形,
正常,
正常值,
正负调焦指令,
正确,
之间,
支撑环,
支撑轴承,
支架,
执行,
指令,
指令发射卡,
指示灯,
指准,
制冷,
制造,
质量,
中断,
中放单元,
中间键,
中频,
中罩,
重启,
轴,
轴承,
轴承保持器,
轴承滚道,
轴套,
主板,
主电源,
主机,
主控板,
主控车,
主控盒,
主控制盒,
主起撑杆,
主起接头,
主起落架,
主视距,
主视距拖车,
主通道,
主遥控,
主遥控键,
主站,
主中放单元,
助焊剂,
注入,
注入器,
转接板,
转配过盈量,
转速,
转弯,
装错,
装前检查,保持器
状况,
状态,
状态码,
姿态角,
自保护,
自动,
自动跟踪,
自环噪比,
自检,起接头
自检测,主视距
自检线圈,拖车
自燃,通道
自锁螺母,遥控
自行,
自主,
字节,中放单元
综合检测计算机,
综合应力,
总温传感器,
纵梁,
走线,
阻尼减震器,
组件,
左侧,
左底罩,
左副翼,
左机翼,
左襟副翼,
左起落架,
左前机身,
左升降舵,
左主起撑杆,
左主起落架,
作动筒,
作模车,
作用距离,
坐标值,
