编号,序号,所属系统,产品名称,故障部位,深层现象,故障现象,故障分析,处理方式,处理方式标签2,处理方式标签,系统标签
R37,37,动力系统,螺旋桨,桨距电机端盖,驱动线缆自焊点断裂、螺钉松脱,桨距电机端盖松动,驱动线缆自焊点断裂且由于螺钉松脱导致电机端盖松动,更换桨距电机,1,更换故障件,4
R37,37,动力系统,螺旋桨,桨距电机,厂家检查测量最小变距角度为14°，按规程进行变距机构维护，检查各级齿轮及电机无异常,变距角度达不到标准,可能是由于存放时间过长导致油脂粘度增加导致,重新组装故障排除,3,维修(无需更换）,4
R38,38,导航飞控系统,机载GPS接收机,机载GPS接收机,现场再次通电故障消失,BGPS故障信号灯显示红色,NA,非故障,4,无故障,5
R39,39,导航飞控系统,机载GPS接收机,机载GPS接收机,第一次通电故障，第二次通电正常,第一次通电时GPS接收机未能正确定位飞机位置，第二次通电正常,器件老化失效,更换故障件,1,更换故障件,5
R40,40,导航飞控系统,机载GPS接收机,机载GPS接收机,GPS接收机收星颗数少，收星时间长，器件老化,GPS接收机差分状态不稳定,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R41,41,导航飞控系统,机载GPS接收机,机载GPS接收机,GPS接收机收星颗数少，收星时间长，器件老化,GPS接收机差分状态不稳定,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R42,42,导航飞控系统,机载GPS接收机,机载GPS接收机,后期通电检查，上电3min，导航初始化开始定位；器件老化,飞行联试时，上电40min后差分信号中断,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R43,43,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R44,44,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R45,45,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R46,46,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R47,47,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R48,48,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R49,49,导航飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R50,50,导航飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R51,51,导航飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R52,52,导航飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R53,53,导航飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R56,56,导航飞控系统,无线电高度表,电位器RP2,返厂检测，误差超出正常精度范围-0.3m～0.3m,外场试验中，高度表测量值超出误差范围,电位器RP2调节错误导致误差,调节故障件,3,维修(无需更换）,5
R57,57,导航飞控系统,无线电高度表,无线电高度表,高度表故障,无线高度表显示数值超出误差范围,高度表故障,更换故障件,1,更换故障件,5
R58,58,导航飞控系统,速率陀螺组件,A通道航向陀螺仪,经查A通道航向故障,2号陀螺俯仰方向输出数值无变化,A通道航向故障导致2号陀螺俯仰方向输出数值无变化,更换故障件,1,更换故障件,5
R59,59,导航飞控系统,速率陀螺组件,C通道航向陀螺仪,经查C通道航向故障,3号角速度陀螺俯仰通道无输出,C通道航向故障导致3号角速度陀螺俯仰通道无输出,更换故障件,1,更换故障件,5
R60,60,导航飞控系统,速率陀螺组件,A通道航向陀螺仪,经查A通道航向故障,1号角速度陀螺俯仰通道无输出,A通道航向故障导致1号陀螺俯仰方向输出数值无变化,更换故障件,1,更换故障件,5
R61,61,导航飞控系统,速率陀螺组件,线路控制板,常温状态故障未复现，低温状态下表现为有时会无法接通,速率陀螺中俯仰2号陀螺晃动时显示数据不正确,线路控制板故障,更换故障件,2,更换故障件,5
R62,62,导航飞控系统,速率陀螺组件,角速率陀螺,上电检测发现俯仰2号偏航、1号无数据变化,滑行时，角速率陀螺故障,器件失效,更换故障件,1,更换故障件,5
R63,63,导航飞控系统,速率陀螺组件,A通道俯仰陀螺仪；B通道俯仰陀螺仪,返厂检查，各通道性能合格但陀螺电机声音大,测控飞行中报一次故障,分析为单个陀螺超差导致故障,更换故障件,1,更换故障件,5
R64,64,导航飞控系统,速率陀螺组件,A通道倾斜配套陀螺仪,地面检测A通道横滚陀螺故障，返厂检查A通道倾斜无梯度输出,飞行中陀螺报故,A通道倾斜配套陀螺仪故障导致陀螺报故,更换故障件,1,更换故障件,5
R65,65,导航飞控系统,速率陀螺组件,C通道航向陀螺同步器,C通道航向陀螺同步器输出线圈缆线整形时受损,空中报一次故障,C通道航向陀螺同步器输出线圈缆线整形时受损，低温下收缩断裂，导致报故,返厂维修,1,维修(无需更换）,5
R66,66,导航飞控系统,垂直陀螺,2N2222三极管,线路板上2N2222三极管损坏,飞行中2号垂直陀螺报故,线路板上2N2222三极管损坏,更换故障件,2,更换故障件,5
R70,70,导航飞控系统,垂直陀螺,垂直陀螺,返厂复查合格,飞行时报故，飞参分析垂直陀螺输入值为“0”,NA,非故障,4,无故障,5
R71,71,导航飞控系统,垂直陀螺,2N2222三极管,常温状态故障未复现，低温状态下发现线路板不延时,飞行时报故，飞参分析垂直陀螺输入值为“0”,线路板上2N2222三极管被击穿 ,更换故障件,2,更换故障件,5
R77,77,导航飞控系统,垂直陀螺,垂直陀螺,2号垂直陀螺俯仰超差，俯仰角不稳定,开车时，2号垂直陀螺俯仰超差，俯仰角不稳定,2号垂直陀螺俯故障,更换故障件,1,更换故障件,5
R78,78,导航飞控系统,垂直陀螺,垂直陀螺,调整后状况不变,垂直陀螺俯仰超差,垂直陀螺故障,更换故障件,1,更换故障件,5
R80,80,导航飞控系统,差分GPS地面站接收机,差分GPS地面站接收机,产品年代久远,接收卫星速度慢，4分钟未定位，收星数明显少于同等条件下其他同型号的接收机,产品性能老化,更换故障件,1,更换故障件,5
R81,81,导航飞控系统,飞控计算机,EPROM器件,CPU通道2的EPROM器件失效,处理器1中断口故障，处理器1CCDL口故障；处理器2中断口故障，处理器2CCDL口故障；处理器3RAM口故障，处理器3NVM口故障，处理器3定时器1口故障，处理器3通道故障口故障，处理器3中断口故障，处理器3CCDL口故障，处理器3CPU口故障,CPU通道2的EPROM器件失效,更换故障件,2,更换故障件,5
R82,82,导航飞控系统,速率陀螺组件,软件,抗干扰天线中无GLOASS频点，射频天线缺少，环境温度较高,在飞机起飞离地过程中，速率陀螺报一次故障,抗干扰天线中无GLOASS频点，射频天线缺少，这部分增益导致接收机GLOASS射程通道输出功率小于正常值，同时在环境温度较高时，机箱温度升高，射频通道本身的增益也降低，以上因素导致GLOASS通道输出功率小于门限值，接收机报故障,更改软件，将对比GLOASS通道检测删除,2,软件,5
R83,83,导航飞控系统,惯性导航部件,A1板；A12板,A1、A12板故障,惯导报“一级故障”,A1、A12板故障,更换故障件,2,更换故障件,5
R84,84,导航飞控系统,惯性导航部件,多余轴锁定电路,多余轴锁定电路故障,惯导报二级故障，天线无法进入导航,多余轴锁定电路故障,更换故障件,2,更换故障件,5
R85,85,导航飞控系统,惯性导航部件,校零开关,校零开关故障,惯导报二级故障,校零开关故障,更换故障件,2,更换故障件,5
R86,86,导航飞控系统,惯性导航部件,导电环,间隔5分钟重新上电，惯导开机5秒后报二级故障,惯导开机时正常对准，50秒后报一级故障，惯导自动关闭,导电环故障,更换故障件,2,更换故障件,5
R88,88,导航飞控系统,惯性导航部件,备用环,备用环故障,惯导报二级故障,备用环故障,更换故障件,2,更换故障件,5
R89,89,导航飞控系统,INS/卫星/地标组合导航系统,滤波电容,滤波电容故障,惯导采用正常罗经对准，对准时间1812秒，状态码显示50，二级故障显示灯亮，故障信息显示“未定义”，惯导关闭5min后再开机采用正常罗经对准，对准时间785秒，状态码显示50，二级故障显示灯亮，故障信息显示“未定义”，惯导上的故障灯显示黑白相间的故障信号,滤波电容故障,更换故障件,2,更换故障件,5
R91,91,导航飞控系统,通风盒,接线板,接线板故障,飞机加电约5min后听见前舱内发出一声异响，车上115V电源同时跳闸，随后在惯导通风口处有烟冒出,接线板故障导致惯导通风盒烧坏,更换通风盒,1,更换故障件,5
R92,92,导航飞控系统,通风盒,A1板；A12板,A1、A12板故障,加电后，通风盒电机不转,A1、A12板故障,更换故障件,2,更换故障件,5
R93,93,导航飞控系统,数传电台,数传电台,数传电台故障,接收不到地面差分GPS信号,数传电台故障,更换故障件,1,更换故障件,5
R95,95,导航飞控系统,数传电台,数传电台,数传电台故障,飞机无DGPS信号,数传电台故障,更换故障件,1,更换故障件,5
R96,96,导航飞控系统,数传电台,射频线,射频线受损,飞行时，主控车差分状态信号闪烁，电台作用距离超过5～9km后接受不正常，灵敏度低于标称,射频线受损,更换故障件,2,更换故障件,5
R97,97,导航飞控系统,数传电台,信号电源,电台信号电源线插头松动,地面检测时无差分信号，上电时指示灯不亮,电台信号电源线插头松动导致插头焊脚虚焊致使指示灯不亮,用电烙铁加焊信号电源线管脚，用更换弹片、点胶的方式加固插头,3,维修(无需更换）,5
R98,98,导航飞控系统,数传电台,电源模块,电源模块输入端地线断开,地面联试无差分信号，数传电台工作指示灯不亮,电源模块输入端地线断开，使得无法正常供电，指示灯不亮,将电源模块地线正确接入电路,3,维修(无需更换）,5
R99,99,导航飞控系统,数传电台,电缆组件,电台天线电缆连接器导线接触簧片有形变,外场试验无法进行差分工作,导线接触簧片有形变，使用时由于振动原因造成接触不良,更换故障件,2,更换故障件,5
R100,100,导航飞控系统,数传电台,电缆,屏蔽套把线缆扎破,数传电台空中作用距离低于正常值,屏蔽套把线缆扎破而短路,更改机上电缆，在金属屏蔽套和线缆之间增加热塑管,3,维修(无需更换）,5
R101,101,导航飞控系统,数传电台,电缆,接通电源后指示灯不亮，串口无法接入数据，无法通过串口设置电台,外场试验中，数传电台工作指示灯不亮，且无法工作,电缆焊接松动,将原有电台结构件更换为具有卡口功能的结构件，对内部电缆重新焊接固定,2,维修(无需更换）,5
R102,102,导航飞控系统,PCC数传电台,电缆,无法接收差分信号，且无法通过计算机连接设置,外场试验中无差分信号,由于lemo5芯插头可转动导致电缆焊接松动，影响模块与接插件正常通信及指示,将原有电台结构件更换为具有卡口功能的结构件，对内部线缆重新固定,2,维修(无需更换）,5
R103,103,导航飞控系统,惯性导航部件,软件,DGPS接口程序错误判断DGPS数据,在地面联试中，导航模式为INS/DGPS时，惯导不规则报“DGPS无效”,卫通接口软件在解析DGPS数据时，会将时间包中的数据当作速度包中的某位来处理，不符合包头条件，造成数据丢包,更改了卫通接口软件,2,软件,5
R104,104,导航飞控系统,惯性导航部件,导航软件,软件设计缺陷,加改装鉴定试飞中，飞机在折返飞行时，惯导报约3s的纯惯性状态,软件设计缺陷,对导航软件进行升级,2,软件,5
R105,105,导航飞控系统,左副翼；襟副翼；扰流片控制盒,左副翼；襟副翼；扰流片控制盒,左副翼、襟副翼、扰流片控制盒故障,舵面检查时，左襟副翼报故显示RVDT1、DSP1、HALL1，模型监控1，欠压1，定时器1，AD转换1,左副翼、襟副翼、扰流片控制盒故障,更换故障件,1,更换故障件,5
R106,106,导航飞控系统,右副翼；襟副翼；扰流片控制盒,右副翼；襟副翼；扰流片控制盒,右副翼、襟副翼、扰流片控制盒故障,右机翼舵机报欠压故障，余度2、DVDT2、DSP2、HALL2、模型监控2、欠压2、定时器2、AD转换2、余度1,右副翼、襟副翼、扰流片控制盒故障,更换故障件,1,更换故障件,5
R107,107,导航飞控系统,右方向舵舵机,右方向舵舵机,性能复测、环境试验，故障未复现,在地面联试过程中，发生右方向舵舵机卡滞问题,产品返厂后，进行,非故障,4,无故障,5
R108,108,导航飞控系统,速率陀螺组件,软件,抗干扰天线中无GLOASS频点，射频天线缺少，环境温度较高,起飞离地过程中，速率陀螺报一次故障,抗干扰天线中无GLOASS频点，射频天线缺少，这部分增益导致接收机GLOASS射程通道输出功率小于正常值，同时在环境温度较高时，机箱温度升高，射频通道本身的增益也降低，以上因素导致GLOASS通道输出功率小于门限值，接收机报故障,更改软件，将对比GLOASS通道检测删除,2,软件,5
R109,109,导航飞控系统,飞控计算机,外部被采信号,故障接口为起落架压缩信号，产品后续经过各种环境试验未发现异常,飞行准备过程中，飞控计算机DIO离散输入输出板二次故障,故障接口为起落架压缩信号，该信号分三路送至飞控计算机采集，每路又被飞控计算机的两块DIO板进行读取，两块DIO板对三路信号的采集都不一致，因此分析故障与外部被采信号不稳定相关,该信号对飞行安全无影响，可以继续使用,4,无故障,5
R110,110,导航飞控系统,惯性导航部件,导航软件,软件设计缺陷,加改装鉴定试飞中，飞机在折返飞行时，惯导报约3s的纯惯性状态,软件设计缺陷,对导航软件进行升级,2,软件,5
R111,111,导航飞控系统,惯导/卫星组合导航系统,惯性导航部件,对当日飞行情况进行分析，出现惯导位置速度超差，重新对准惯导后，陀螺方位数据恢复正常；起飞前进行地面对准时进行了飞机舵面测试,飞机着陆后，未对惯导进行断电，现场拷贝该架机参数，陀螺方位轴Z轴存在异常,对准时进行了飞机舵面测试，该项工作有可能影响惯导对准精度，惯导报位速超差是由于地面对准时，航向出现较大漂移误差造成,更改飞机地面准备工艺流程，明确了在惯导对准过程中，不进行飞机其它准备工作,3,改进工艺,5
R112,112,导航飞控系统,GPS板卡,GPS板卡,经实际收星测试，接收机收星数量低于标准值，且解算困难，定位时间长；板卡老化,在机务准备过程中，静态联系完毕后，交测控后无差分信号,板卡老化，收星灵敏度下降,更换故障件,3,更换故障件,5
R113,113,导航飞控系统,天线,天线,测试约6个小时，将串口输出的语句信息保存在TXT文档中，没有发现不定位的信息,天线经常出现突然无DGPS信号，且能够自行恢复正常,NA,非故障，继续观察使用,4,无故障,5
R114,114,飞行器平台,机体,机身,蒙皮对接缝处漆膜开裂，漆膜鼓包,机体左前机身下方有一处裂纹，其下方有一处鼓包,NA,补漆,3,维修(无需更换）,6
R115,115,飞行器平台,机体,尾撑管,制造缺陷,尾撑管尾部一托板螺母松动,制造缺陷,现场修理,3,维修(无需更换）,6
R116,116,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R117,117,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R118,118,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R119,119,飞行器平台,机翼对接衬套,机翼对接衬套,衬套脱粘,机翼对接衬套松动，固定衬套用的胶粘性不强、7框机体两衬套划伤,衬套脱粘,更换故障件,2,更换故障件,6
R121,121,飞行器平台,右主起落架,缓冲支柱外筒,着陆过程中航向角与航迹角夹角过大,飞机着陆后检查发现右主起落架缓冲支柱外筒顶部有较大裂纹,由于着陆过程中航向角与航迹角夹角过大，产生侧向力，将起落架拉坏,更换起落架,1,更换故障件,6
R122,122,飞行器平台,左主起落架,缓冲支柱外筒,着陆过程中航向角与航迹角夹角过大,飞机着陆后检查发现左主起落架缓冲支柱外筒顶部有较大裂纹，舱门拉杆断裂,由于着陆过程中航向角与航迹角夹角过大，产生侧向力，将起落架拉坏,更换起落架,1,更换故障件,6
R123,123,飞行器平台,左主起落架,微动开关,控制微动开关电缆触头与控制微动开关间隙过大,左主起落架微动开关故障导致全压缩信号一直为0，无法正常起飞,微动开关电缆触头距离调整不到位，形成间隙过大，导致全压缩信号一直为0,控制微动开关电缆触头与控制微动开关接触距离，确保全压缩信号为1,3,维修(无需更换）,6
R124,124,飞行器平台,电源模块,电源模块,电源模块故障,电源模块发热并有糊味，无法预置刹车预置量,电源模块故障,更换故障件,1,更换故障件,6
R125,125,飞行器平台,电源模块,电源模块,电源模块故障,电源模块上电后外部温度高发烫,电源模块故障,更换故障件,1,更换故障件,6
R126,126,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,地面联试过程中，检查刹车压力时发现刹车压力降低,刹车控制器故障,更换故障件,1,更换故障件,6
R127,127,飞行器平台,比例式电控刹车阀及控制器,压力传感器,压力传感器故障,刹车压力达不到规定值,压力传感器故障,更换故障件,1,更换故障件,6
R128,128,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,输入刹车预置量时，没有刹车压力输出,刹车控制器故障,更换故障件,1,更换故障件,6
R129,129,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,输入刹车预置量时，没有刹车压力输出,刹车控制器故障,更换故障件,1,更换故障件,6
R130,130,飞行器平台,比例式电控刹车阀及控制器,电机,电机故障,工作中刹车阀发热有糊味，预置刹车预置量刹车无反应,电机故障,更换故障件,1,更换故障件,6
R131,131,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器电路板故障,地面等待遥控检查时，右刹车100%时，刹车压力并没达到，机轮依然可转动，无法正常控制刹车压力,刹车控制器电路板故障,更换刹车控制器电路板,2,更换故障件,6
R132,132,飞行器平台,比例式电控刹车阀及控制器,油管,油管故障,刹车阀压力传感器与油管连接处漏油,油管故障,更换故障件,1,更换故障件,6
R133,133,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器电路板故障,飞机接地滑跑刹车停稳后，无法解除刹车预置量和松刹车，反复置刹车压力100%和0%若干次后，发现可以松刹车,刹车控制器电路板故障,更换刹车控制器电路板,2,更换故障件,6
R137,137,飞行器平台,左主起落架,微动开关,左主起落架微动开关在半放下状态时AC已经处于断开状态,起落架应急放试验中，前起落架和右主起落架先后放下到位，但左主起落架在半放下状态时，检测车收到了起落架放下锁死信号，放下锁死灯燃亮，放下时间显示低于正常值，电动泵停止工作,起落架在应急放下过程中，由于左主起落架微动开关在半放下状态时AC已经处于断开状态，造成在前起落架和右起落架放下到位，但左主起落架没有到位时，三个放下锁死微动开关AC点都处于断开状态，飞控计算机误判出现了锁死信号，在左起落架没有完全放下情况下，发出停止电动泵工作指令，控制电动泵停止工作,调整微动开关，使左主起撑杆作动筒放下开锁至上锁行程中AC一直导通，上锁后AC断开,3,维修(无需更换）,6
R138,138,飞行器平台,主起落架,缓冲支柱,缓冲支柱密封件损坏,主起落架缓冲支柱外筒下部漏油,密封件损坏,更换密封件,2,更换故障件,6
R139,139,飞行器平台,主起落架,主起落架,对受损部件目视检查，并将左右侧主起接头起落架法兰盘安装区域及周围脱漆后进行无损检测，检测结果合格,主起落架飞行后检查发现起落架根部出现裂纹,表面漆有裂纹，金属件无问题,非故障,4,无故障,6
R141,141,电气系统,主控制盒,主控制盒,操作不当,主控制盒盒口插头凸头卡销断裂,操作不当,断裂处打磨处理,3,维修(无需更换）,1
R142,142,电气系统,主控制盒,继电器,主控制盒内继电器常开触点粘连,飞行时，无线电高度表不能正常开关机,主控制盒内继电器常开触点粘连导致无线电高度表故障,更换故障继电器,2,更换故障件,1
R144,144,电气系统,主控制盒,继电器,主控制盒内继电器常开触点粘连,地检蓄电池并网1指令信号发出后，飞机无响应,主控制盒内继电器常开触点粘连,更换故障件,2,更换故障件,1
R145,145,电气系统,交流发电机,内滑环,发电机内滑环开裂,发电机建压缓慢，甚至长时间不能建压,发电机内滑环开裂,更换发电机,1,更换故障件,1
